Topic No,Frequency,Words
0,0.022222222222222233,"절단, 롯데케미칼, 손가락 절단, 동창회, 동창, 손가락, 금융, 부산은행, a씨 b씨, 몸싸움, b씨, 동전, 인도네시아, 대통령님, 초등학교 동창, 강령, 현행범 체포, 현행범, 경기 미래, 중징계 의결, 말다툼, 행동 강령, 금융 교육, 극우뇌, 편지, 의결, 교재, 여주경찰서, 체포, 새끼손가락 절단"
1,0.09943883277216657,"교육부, 교사, 징계, 사무관, 연가, 교사들, 부총리, dna, 집회, 공교육, 교권, 집단행동, 휴업, 학교, 추모, a씨, 담임교사, 아이, 재량휴업, 자녀, 국회, 해제, 직위, 교육부 사무관, 공무원, 담임, 교권 회복, 신고, 이주호, 회복"
2,0.03995510662177325,"버스, 수학여행, 현장체험학습, 통학버스, 취소, 법제처, 어린이, 통학, 현장 체험, 체험 학습, 태풍, 전세 버스, 전세버스, 해석, 전세, 단속, 어린이 통학, 어린, 운행, 경찰청, 차량, 통학 버스, 계약, 유예, 성병, 어린 통학버스, 노란색, 개조, 구속, 혼란"
3,0.06038159371492679,"의원, 탄핵, 횡단보도, 대통령, 동창, 회장, 스마트폰, 보급, 민주당, 총리, 어린이, 우산, 발언, 관심군, 이중근, 1억, 고성, 대정부, 윤석열, 지급, 고향, 의장, 설훈, 대정부 질문, 시장, 야당, 원씩, 어린이들, 봉사, 부영그룹"
4,0.04085297418630747,"증설, 대전, 음식점, 유성구, 프랜차이즈, 영업 중단, 영업, 별점, 단지, 힐스테이트, 사업장, 학부모 운영, 힐스테이트 신용, 분양, 신용, 대전 교사, 더리버, 학급 증설, 특수 학급, 테러, 대전 유성구, 불매, 후기, 더리버 힐스테이트, 가맹점, 조치 영업, 중단, 청약, 특수, 별점 테러"
5,0.6085297418630417,"교사, 학교, 교육, 학생, 학부모, a씨, 경찰, 초등학교, 교사들, 서울, 민원, 사건, 집회, 추모, 수업, 지역, 운영, 아동, 진행, 지원, 조사, 선생님, 발견, 전국, 교권, 사망, 보호, 활동, 이날, 선택"
6,0.02491582491582494,"납품, 양귀비, 이물질, 효성, 에코델타시티, 제품, 원료육, 전북에듀페이, 혼입, 의약품, 근시, 과밀, 이물질 발견, 챗봇, 돼지, 쾌유, 가공, 급식, 회수, 춘천, 과밀 학급, 학교 납품, 학습지원비, 교육비, 제조사, 덩어리, 먹거리센터, 분리 교육, ai 챗봇, 재배"
7,0.028058361391694764,"전기차, 운전, a군, 전기차 사고, 사고, 유성구, 문구점, 검거, 도주, 충전 전기차, 충전, 흉상, 주유소, 대전, 2명, 대피, 사고 도주, 촉법소년, 고성군, b군, 민주당, 주차장, 운전대, 장군, 경찰, 대산, 중학교 2명, 송치, 중학교, 호기심"
8,0.04534231200897858,"기증, bass, 기성용, 강씨, 서비스, 과일, 엄마, 아이돌, 기부, 5명, 장기, 애터미, 사립학교, 회장, 스티커, 뇌사상태, 구강, 영재학교, 명예 훼손, 연수회, 아빠, 하늘나라, 봉사, 봉사단, grc, 성폭력, 설교, 박한길, 꼬부기, 생명"
9,0.030303030303030352,"백군, 자퇴, 서울과학고, 기증, 백강현, 강현이, 영재, 메일, 피부, 입학, 아버지, 환자, 협박 메일, iq, 교사 선발, 피부 기증, 영상, 선발, 화상 환자, 신체조직, 취학, 생물, 백군 아버지, 최윤종, 유튜브, 학교 폭력, 화상, 천재, 학생 선수, 유성구"
